source_sheet,planning_date,source_lines,distinct_invoice_ids,positive_quantity_lines,positive_units,nonpositive_quantity_lines
Year 2010-2011,2011-07-22,1301,58,1281,10302,20
Year 2010-2011,2011-07-24,1125,63,1116,17670,9
Year 2010-2011,2011-07-25,1946,70,1935,16100,11
Year 2010-2011,2011-07-26,1279,89,1233,14056,46
Year 2010-2011,2011-07-27,1259,86,1228,14142,31
Year 2010-2011,2011-07-28,1565,125,1510,30584,55
Year 2010-2011,2011-07-29,1131,70,1119,11621,12
Year 2010-2011,2011-07-31,1271,43,1270,20878,1
Year 2010-2011,2011-08-01,1200,51,1189,11722,11
Year 2010-2011,2011-08-02,1369,61,1332,15721,37
Year 2010-2011,2011-08-03,1560,84,1521,16623,39
Year 2010-2011,2011-08-04,1839,99,1782,41148,57
Year 2010-2011,2011-08-05,1455,66,1442,12818,13
Year 2010-2011,2011-08-07,541,33,529,5186,12
Year 2010-2011,2011-08-08,1490,57,1455,13412,35
Year 2010-2011,2011-08-09,1119,60,1087,16261,32
Year 2010-2011,2011-08-10,1376,62,1360,14423,16
Year 2010-2011,2011-08-11,1984,85,1935,40299,49
Year 2010-2011,2011-08-12,1122,61,1115,12024,7
Year 2010-2011,2011-08-14,557,37,538,3180,19
Year 2010-2011,2011-08-15,926,54,918,10201,8
Year 2010-2011,2011-08-16,1035,63,1022,11262,13
Year 2010-2011,2011-08-17,1666,64,1651,25715,15
Year 2010-2011,2011-08-18,1539,100,1487,34174,52
Year 2010-2011,2011-08-19,819,61,811,10672,8
Year 2010-2011,2011-08-21,1070,42,1065,8169,5
Year 2010-2011,2011-08-22,1272,68,1267,15556,5
Year 2010-2011,2011-08-23,1458,73,1434,15181,24
Year 2010-2011,2011-08-24,1876,102,1820,29522,56
Year 2010-2011,2011-08-25,1342,93,1291,13487,51
Year 2010-2011,2011-08-26,929,55,925,18175,4
Year 2010-2011,2011-08-28,1200,39,1196,6774,4
Year 2010-2011,2011-08-30,3235,50,3218,10304,17
Year 2010-2011,2011-08-31,1305,117,1176,13007,129
Year 2010-2011,2011-09-01,1405,81,1399,27858,6
Year 2010-2011,2011-09-02,2376,107,2333,18956,43
Year 2010-2011,2011-09-04,1343,53,1333,10963,10
Year 2010-2011,2011-09-05,1587,78,1569,23653,18
Year 2010-2011,2011-09-06,1140,70,1122,15090,18
Year 2010-2011,2011-09-07,2112,60,2080,16392,32
Year 2010-2011,2011-09-08,1779,90,1750,17468,29
Year 2010-2011,2011-09-09,1607,88,1558,17405,49
Year 2010-2011,2011-09-11,2032,78,2027,21146,5
Year 2010-2011,2011-09-12,1702,96,1638,17663,64
Year 2010-2011,2011-09-13,2438,82,2428,36936,10
Year 2010-2011,2011-09-14,1376,93,1333,14334,43
Year 2010-2011,2011-09-15,2197,115,2151,29324,46
Year 2010-2011,2011-09-16,1475,84,1448,16009,27
Year 2010-2011,2011-09-18,1274,28,1272,8994,2
Year 2010-2011,2011-09-19,1436,100,1388,29394,48
Year 2010-2011,2011-09-20,1718,77,1709,43733,9
Year 2010-2011,2011-09-21,3129,107,3025,22334,104
Year 2010-2011,2011-09-22,2748,148,2675,33225,73
Year 2010-2011,2011-09-23,2642,98,2591,21912,51
Year 2010-2011,2011-09-25,1987,78,1981,19505,6
Year 2010-2011,2011-09-26,1554,79,1528,15353,26
Year 2010-2011,2011-09-27,1897,115,1850,21965,47
Year 2010-2011,2011-09-28,2877,112,2830,25559,47
Year 2010-2011,2011-09-29,2508,116,2462,27682,46
Year 2010-2011,2011-09-30,1887,94,1843,22563,44
Year 2010-2011,2011-10-02,1429,36,1426,8385,3
Year 2010-2011,2011-10-03,2296,91,2270,26003,26
Year 2010-2011,2011-10-04,2797,104,2764,25806,33
Year 2010-2011,2011-10-05,2447,104,2389,46338,58
Year 2010-2011,2011-10-06,3189,218,2945,36847,244
Year 2010-2011,2011-10-07,2426,108,2359,31090,67
Year 2010-2011,2011-10-09,1292,41,1261,7556,31
Year 2010-2011,2011-10-10,3232,139,3161,26212,71
Year 2010-2011,2011-10-11,2467,105,2417,28524,50
Year 2010-2011,2011-10-12,2193,110,2032,17915,161
Year 2010-2011,2011-10-13,2358,106,2300,19108,58
Year 2010-2011,2011-10-14,1810,88,1778,18268,32
Year 2010-2011,2011-10-16,1254,39,1247,8770,7
Year 2010-2011,2011-10-17,2944,108,2902,31410,42
Year 2010-2011,2011-10-18,2908,109,2862,29588,46
Year 2010-2011,2011-10-19,2318,107,2271,19260,47
Year 2010-2011,2011-10-20,2350,106,2312,40919,38
Year 2010-2011,2011-10-21,1404,69,1387,24793,17
Year 2010-2011,2011-10-23,1728,45,1724,7073,4
Year 2010-2011,2011-10-24,2976,141,2847,26527,129
Year 2010-2011,2011-10-25,2492,112,2462,27073,30
Year 2010-2011,2011-10-26,1930,107,1911,21343,19
Year 2010-2011,2011-10-27,2540,137,2480,33910,60
Year 2010-2011,2011-10-28,1641,101,1615,24162,26
Year 2010-2011,2011-10-30,2907,97,2901,20068,6
Year 2010-2011,2011-10-31,3414,109,3373,21797,41
Year 2010-2011,2011-11-01,1786,105,1741,16913,45
Year 2010-2011,2011-11-02,2632,116,2594,28768,38
Year 2010-2011,2011-11-03,2419,124,2383,34618,36
Year 2010-2011,2011-11-04,3011,143,2909,35438,102
Year 2010-2011,2011-11-06,3437,104,3426,23309,11
Year 2010-2011,2011-11-07,2099,115,2051,31395,48
Year 2010-2011,2011-11-08,4070,144,3979,26538,91
Year 2010-2011,2011-11-09,2716,127,2690,38269,26
Year 2010-2011,2011-11-10,3275,184,3203,39239,72
Year 2010-2011,2011-11-11,4089,118,4071,29063,18
Year 2010-2011,2011-11-13,3018,93,2993,20840,25
Year 2010-2011,2011-11-14,3597,152,3528,47631,69
Year 2010-2011,2011-11-15,3445,142,3407,30912,38
Year 2010-2011,2011-11-16,4195,161,4150,33144,45
Year 2010-2011,2011-11-17,3621,170,3578,31993,43
Year 2010-2011,2011-11-18,2920,164,2825,24338,95
Year 2010-2011,2011-11-20,3334,105,3317,19416,17
Year 2010-2011,2011-11-21,2930,122,2887,25814,43
Year 2010-2011,2011-11-22,3967,174,3915,36025,52
Year 2010-2011,2011-11-23,3619,154,3562,39420,57
Year 2010-2011,2011-11-24,3766,146,3701,26629,65
Year 2010-2011,2011-11-25,3125,98,3092,31775,33
Year 2010-2011,2011-11-27,2543,60,2533,11173,10
Year 2010-2011,2011-11-28,3330,126,3304,29466,26
Year 2010-2011,2011-11-29,4313,151,4295,30940,18
Year 2010-2011,2011-11-30,3454,164,3364,28532,90
Year 2010-2011,2011-12-01,2901,169,2813,27051,88
Year 2010-2011,2011-12-02,2880,142,2832,28825,48
Year 2010-2011,2011-12-04,2038,72,2033,12412,5
Year 2010-2011,2011-12-05,5331,151,5302,44664,29
Year 2010-2011,2011-12-06,3365,149,3263,30469,102
Year 2010-2011,2011-12-07,2438,138,2396,41980,42
Year 2010-2011,2011-12-08,4940,145,4871,35672,69
Year 2010-2011,2011-12-09,1633,49,1626,93980,7
