source_date,legacy_invoice_count,positive_quantity_invoice_count,candidate_outbound_orders,candidate_lines,candidate_units,legacy_positive_lines,legacy_positive_units
2011-10-21,69,65,64,1382,24780,1387,24793
2011-10-23,45,42,41,1722,7071,1724,7073
2011-10-24,141,84,79,2829,25659,2847,26527
2011-10-25,112,89,77,2445,26585,2462,27073
2011-10-26,107,97,94,1902,21318,1911,21343
2011-10-27,137,108,104,2467,33878,2480,33910
2011-10-28,101,83,78,1603,24043,1615,24162
2011-10-30,97,96,96,2893,20021,2901,20068
2011-10-31,109,75,70,3355,21592,3373,21797
2011-11-01,105,85,81,1734,16829,1741,16913
2011-11-02,116,100,85,2575,28561,2594,28768
2011-11-03,124,105,102,2370,33760,2383,34618
2011-11-04,143,96,93,2899,35323,2909,35438
2011-11-06,104,102,102,3419,23275,3426,23309
2011-11-07,115,94,92,2041,31367,2051,31395
2011-11-08,144,109,107,3966,26407,3979,26538
2011-11-09,127,119,119,2684,37057,2690,38269
2011-11-10,184,134,127,3184,38215,3203,39239
2011-11-11,118,105,102,4049,29020,4071,29063
2011-11-13,93,87,87,2991,20838,2993,20840
2011-11-14,152,114,106,3507,47327,3528,47631
2011-11-15,142,119,107,3384,30359,3407,30912
2011-11-16,161,137,131,4128,33086,4150,33144
2011-11-17,170,140,138,3558,31842,3578,31993
2011-11-18,164,117,108,2803,23957,2825,24338
2011-11-20,105,100,100,3311,19405,3317,19416
2011-11-21,122,103,102,2877,25789,2887,25814
2011-11-22,174,151,136,3881,34148,3915,36025
2011-11-23,154,131,130,3552,39405,3562,39420
2011-11-24,146,123,112,3679,26476,3701,26629
2011-11-25,98,88,85,3079,31512,3092,31775
2011-11-27,60,58,58,2530,11152,2533,11173
2011-11-28,126,115,114,3296,29443,3304,29466
2011-11-29,151,138,136,4280,30878,4295,30940
2011-11-30,164,114,107,3342,28356,3364,28532
2011-12-01,169,121,121,2802,27026,2813,27051
2011-12-02,142,123,121,2820,28791,2832,28825
2011-12-04,72,68,68,2027,12399,2033,12412
2011-12-05,151,132,128,5283,43760,5302,44664
2011-12-06,149,116,114,3249,30437,3263,30469
2011-12-07,138,112,105,2381,41857,2396,41980
2011-12-08,145,123,121,4860,35605,4871,35672
2011-12-09,49,44,44,1618,93968,1626,93980
