demand_key,basis,date,segment,orders,units,evidence
retained|2023-01-05|large_over_5,retained,2023-01-05,large_over_5,53,1911,Observed source aggregation; duplicate interpretation varies
retained|2023-07-25|small_1_5,retained,2023-07-25,small_1_5,78,147,Observed source aggregation; duplicate interpretation varies
retained|2023-07-26|large_over_5,retained,2023-07-26,large_over_5,23,339,Observed source aggregation; duplicate interpretation varies
retained|2023-07-26|small_1_5,retained,2023-07-26,small_1_5,77,130,Observed source aggregation; duplicate interpretation varies
retained|2023-07-27|large_over_5,retained,2023-07-27,large_over_5,15,518,Observed source aggregation; duplicate interpretation varies
retained|2023-07-27|small_1_5,retained,2023-07-27,small_1_5,40,68,Observed source aggregation; duplicate interpretation varies
retained|2023-07-28|large_over_5,retained,2023-07-28,large_over_5,7,621,Observed source aggregation; duplicate interpretation varies
retained|2023-07-28|small_1_5,retained,2023-07-28,small_1_5,30,47,Observed source aggregation; duplicate interpretation varies
retained|2023-07-31|large_over_5,retained,2023-07-31,large_over_5,26,459,Observed source aggregation; duplicate interpretation varies
retained|2023-07-31|small_1_5,retained,2023-07-31,small_1_5,71,131,Observed source aggregation; duplicate interpretation varies
retained|2023-08-01|large_over_5,retained,2023-08-01,large_over_5,19,376,Observed source aggregation; duplicate interpretation varies
retained|2023-08-01|small_1_5,retained,2023-08-01,small_1_5,103,181,Observed source aggregation; duplicate interpretation varies
retained|2023-08-02|large_over_5,retained,2023-08-02,large_over_5,3,98,Observed source aggregation; duplicate interpretation varies
retained|2023-08-02|small_1_5,retained,2023-08-02,small_1_5,20,28,Observed source aggregation; duplicate interpretation varies
retained|2023-08-03|large_over_5,retained,2023-08-03,large_over_5,20,450,Observed source aggregation; duplicate interpretation varies
retained|2023-08-03|small_1_5,retained,2023-08-03,small_1_5,56,99,Observed source aggregation; duplicate interpretation varies
retained|2023-08-04|large_over_5,retained,2023-08-04,large_over_5,8,204,Observed source aggregation; duplicate interpretation varies
retained|2023-08-04|small_1_5,retained,2023-08-04,small_1_5,18,31,Observed source aggregation; duplicate interpretation varies
retained|2023-08-07|large_over_5,retained,2023-08-07,large_over_5,39,1582,Observed source aggregation; duplicate interpretation varies
retained|2023-08-07|small_1_5,retained,2023-08-07,small_1_5,83,146,Observed source aggregation; duplicate interpretation varies
retained|2023-08-08|large_over_5,retained,2023-08-08,large_over_5,21,474,Observed source aggregation; duplicate interpretation varies
retained|2023-08-08|small_1_5,retained,2023-08-08,small_1_5,84,151,Observed source aggregation; duplicate interpretation varies
retained|2023-08-09|large_over_5,retained,2023-08-09,large_over_5,14,405,Observed source aggregation; duplicate interpretation varies
retained|2023-08-09|small_1_5,retained,2023-08-09,small_1_5,97,168,Observed source aggregation; duplicate interpretation varies
retained|2023-08-10|large_over_5,retained,2023-08-10,large_over_5,28,588,Observed source aggregation; duplicate interpretation varies
retained|2023-08-10|small_1_5,retained,2023-08-10,small_1_5,76,148,Observed source aggregation; duplicate interpretation varies
retained|2023-08-13|large_over_5,retained,2023-08-13,large_over_5,39,769,Observed source aggregation; duplicate interpretation varies
retained|2023-08-13|small_1_5,retained,2023-08-13,small_1_5,259,462,Observed source aggregation; duplicate interpretation varies
retained|2023-08-15|large_over_5,retained,2023-08-15,large_over_5,49,992,Observed source aggregation; duplicate interpretation varies
retained|2023-08-15|small_1_5,retained,2023-08-15,small_1_5,146,246,Observed source aggregation; duplicate interpretation varies
retained|2023-08-16|large_over_5,retained,2023-08-16,large_over_5,27,673,Observed source aggregation; duplicate interpretation varies
retained|2023-08-16|small_1_5,retained,2023-08-16,small_1_5,102,226,Observed source aggregation; duplicate interpretation varies
retained|2023-08-17|large_over_5,retained,2023-08-17,large_over_5,27,1104,Observed source aggregation; duplicate interpretation varies
retained|2023-08-17|small_1_5,retained,2023-08-17,small_1_5,51,98,Observed source aggregation; duplicate interpretation varies
retained|2023-08-18|small_1_5,retained,2023-08-18,small_1_5,10,12,Observed source aggregation; duplicate interpretation varies
retained|2023-08-21|small_1_5,retained,2023-08-21,small_1_5,17,18,Observed source aggregation; duplicate interpretation varies
retained|2023-08-22|large_over_5,retained,2023-08-22,large_over_5,164,3384,Observed source aggregation; duplicate interpretation varies
retained|2023-08-22|small_1_5,retained,2023-08-22,small_1_5,659,1215,Observed source aggregation; duplicate interpretation varies
retained|2023-08-23|large_over_5,retained,2023-08-23,large_over_5,1,150,Observed source aggregation; duplicate interpretation varies
retained|2023-08-24|large_over_5,retained,2023-08-24,large_over_5,101,2272,Observed source aggregation; duplicate interpretation varies
retained|2023-08-24|small_1_5,retained,2023-08-24,small_1_5,312,584,Observed source aggregation; duplicate interpretation varies
retained|2023-08-28|large_over_5,retained,2023-08-28,large_over_5,66,2037,Observed source aggregation; duplicate interpretation varies
retained|2023-08-28|small_1_5,retained,2023-08-28,small_1_5,254,446,Observed source aggregation; duplicate interpretation varies
retained|2023-08-29|large_over_5,retained,2023-08-29,large_over_5,26,457,Observed source aggregation; duplicate interpretation varies
retained|2023-08-29|small_1_5,retained,2023-08-29,small_1_5,91,158,Observed source aggregation; duplicate interpretation varies
retained|2023-08-30|large_over_5,retained,2023-08-30,large_over_5,46,838,Observed source aggregation; duplicate interpretation varies
retained|2023-08-30|small_1_5,retained,2023-08-30,small_1_5,169,340,Observed source aggregation; duplicate interpretation varies
retained|2023-08-31|large_over_5,retained,2023-08-31,large_over_5,43,1259,Observed source aggregation; duplicate interpretation varies
retained|2023-08-31|small_1_5,retained,2023-08-31,small_1_5,172,336,Observed source aggregation; duplicate interpretation varies
retained|2023-09-01|large_over_5,retained,2023-09-01,large_over_5,37,839,Observed source aggregation; duplicate interpretation varies
retained|2023-09-01|small_1_5,retained,2023-09-01,small_1_5,174,308,Observed source aggregation; duplicate interpretation varies
retained|2023-09-05|large_over_5,retained,2023-09-05,large_over_5,45,1173,Observed source aggregation; duplicate interpretation varies
retained|2023-09-05|small_1_5,retained,2023-09-05,small_1_5,93,150,Observed source aggregation; duplicate interpretation varies
retained|2023-09-06|large_over_5,retained,2023-09-06,large_over_5,40,581,Observed source aggregation; duplicate interpretation varies
retained|2023-09-06|small_1_5,retained,2023-09-06,small_1_5,126,245,Observed source aggregation; duplicate interpretation varies
retained|2023-09-07|large_over_5,retained,2023-09-07,large_over_5,39,650,Observed source aggregation; duplicate interpretation varies
retained|2023-09-07|small_1_5,retained,2023-09-07,small_1_5,93,152,Observed source aggregation; duplicate interpretation varies
retained|2023-09-08|large_over_5,retained,2023-09-08,large_over_5,15,263,Observed source aggregation; duplicate interpretation varies
retained|2023-09-08|small_1_5,retained,2023-09-08,small_1_5,71,112,Observed source aggregation; duplicate interpretation varies
retained|2023-09-10|large_over_5,retained,2023-09-10,large_over_5,1,1920,Observed source aggregation; duplicate interpretation varies
retained|2023-09-12|large_over_5,retained,2023-09-12,large_over_5,83,1800,Observed source aggregation; duplicate interpretation varies
retained|2023-09-12|small_1_5,retained,2023-09-12,small_1_5,225,388,Observed source aggregation; duplicate interpretation varies
retained|2023-09-13|large_over_5,retained,2023-09-13,large_over_5,48,1131,Observed source aggregation; duplicate interpretation varies
retained|2023-09-13|small_1_5,retained,2023-09-13,small_1_5,127,272,Observed source aggregation; duplicate interpretation varies
retained|2023-09-17|large_over_5,retained,2023-09-17,large_over_5,2,1920,Observed source aggregation; duplicate interpretation varies
retained|2023-09-18|large_over_5,retained,2023-09-18,large_over_5,1,32,Observed source aggregation; duplicate interpretation varies
retained|2023-09-19|large_over_5,retained,2023-09-19,large_over_5,146,2716,Observed source aggregation; duplicate interpretation varies
retained|2023-09-19|small_1_5,retained,2023-09-19,small_1_5,483,887,Observed source aggregation; duplicate interpretation varies
retained|2023-09-21|large_over_5,retained,2023-09-21,large_over_5,101,2153,Observed source aggregation; duplicate interpretation varies
retained|2023-09-21|small_1_5,retained,2023-09-21,small_1_5,335,632,Observed source aggregation; duplicate interpretation varies
retained|2023-09-25|large_over_5,retained,2023-09-25,large_over_5,45,2068,Observed source aggregation; duplicate interpretation varies
retained|2023-09-25|small_1_5,retained,2023-09-25,small_1_5,185,311,Observed source aggregation; duplicate interpretation varies
retained|2023-09-26|large_over_5,retained,2023-09-26,large_over_5,3,94,Observed source aggregation; duplicate interpretation varies
retained|2023-09-26|small_1_5,retained,2023-09-26,small_1_5,26,37,Observed source aggregation; duplicate interpretation varies
retained|2023-09-29|large_over_5,retained,2023-09-29,large_over_5,2,62,Observed source aggregation; duplicate interpretation varies
retained|2023-09-29|small_1_5,retained,2023-09-29,small_1_5,33,46,Observed source aggregation; duplicate interpretation varies
retained|2023-10-02|large_over_5,retained,2023-10-02,large_over_5,195,4360,Observed source aggregation; duplicate interpretation varies
retained|2023-10-02|small_1_5,retained,2023-10-02,small_1_5,488,987,Observed source aggregation; duplicate interpretation varies
retained|2023-10-03|large_over_5,retained,2023-10-03,large_over_5,6,58,Observed source aggregation; duplicate interpretation varies
retained|2023-10-03|small_1_5,retained,2023-10-03,small_1_5,65,78,Observed source aggregation; duplicate interpretation varies
retained|2023-10-04|large_over_5,retained,2023-10-04,large_over_5,4,36,Observed source aggregation; duplicate interpretation varies
retained|2023-10-04|small_1_5,retained,2023-10-04,small_1_5,16,24,Observed source aggregation; duplicate interpretation varies
retained|2023-10-05|large_over_5,retained,2023-10-05,large_over_5,90,1990,Observed source aggregation; duplicate interpretation varies
retained|2023-10-05|small_1_5,retained,2023-10-05,small_1_5,177,351,Observed source aggregation; duplicate interpretation varies
retained|2023-10-06|large_over_5,retained,2023-10-06,large_over_5,45,1218,Observed source aggregation; duplicate interpretation varies
retained|2023-10-06|small_1_5,retained,2023-10-06,small_1_5,142,233,Observed source aggregation; duplicate interpretation varies
retained|2023-10-10|small_1_5,retained,2023-10-10,small_1_5,3,3,Observed source aggregation; duplicate interpretation varies
retained|2023-10-11|large_over_5,retained,2023-10-11,large_over_5,10,261,Observed source aggregation; duplicate interpretation varies
retained|2023-10-11|small_1_5,retained,2023-10-11,small_1_5,45,58,Observed source aggregation; duplicate interpretation varies
retained|2023-10-12|large_over_5,retained,2023-10-12,large_over_5,66,1564,Observed source aggregation; duplicate interpretation varies
retained|2023-10-12|small_1_5,retained,2023-10-12,small_1_5,187,374,Observed source aggregation; duplicate interpretation varies
retained|2023-10-13|large_over_5,retained,2023-10-13,large_over_5,78,1286,Observed source aggregation; duplicate interpretation varies
retained|2023-10-13|small_1_5,retained,2023-10-13,small_1_5,313,614,Observed source aggregation; duplicate interpretation varies
retained|2023-10-16|large_over_5,retained,2023-10-16,large_over_5,40,1050,Observed source aggregation; duplicate interpretation varies
retained|2023-10-16|small_1_5,retained,2023-10-16,small_1_5,153,223,Observed source aggregation; duplicate interpretation varies
retained|2023-10-17|large_over_5,retained,2023-10-17,large_over_5,24,604,Observed source aggregation; duplicate interpretation varies
retained|2023-10-17|small_1_5,retained,2023-10-17,small_1_5,60,116,Observed source aggregation; duplicate interpretation varies
retained|2023-10-18|large_over_5,retained,2023-10-18,large_over_5,14,740,Observed source aggregation; duplicate interpretation varies
retained|2023-10-18|small_1_5,retained,2023-10-18,small_1_5,40,75,Observed source aggregation; duplicate interpretation varies
retained|2023-10-19|large_over_5,retained,2023-10-19,large_over_5,18,475,Observed source aggregation; duplicate interpretation varies
retained|2023-10-19|small_1_5,retained,2023-10-19,small_1_5,40,56,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-05|large_over_5,deduplicated_sensitivity,2023-01-05,large_over_5,53,1911,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-05|small_1_5,deduplicated_sensitivity,2023-01-05,small_1_5,217,343,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-06|large_over_5,deduplicated_sensitivity,2023-01-06,large_over_5,73,1295,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-06|small_1_5,deduplicated_sensitivity,2023-01-06,small_1_5,132,261,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-09|large_over_5,deduplicated_sensitivity,2023-01-09,large_over_5,53,886,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-09|small_1_5,deduplicated_sensitivity,2023-01-09,small_1_5,269,488,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-10|large_over_5,deduplicated_sensitivity,2023-01-10,large_over_5,24,1156,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-10|small_1_5,deduplicated_sensitivity,2023-01-10,small_1_5,222,395,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-11|large_over_5,deduplicated_sensitivity,2023-01-11,large_over_5,36,393,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-11|small_1_5,deduplicated_sensitivity,2023-01-11,small_1_5,217,414,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-12|large_over_5,deduplicated_sensitivity,2023-01-12,large_over_5,56,1478,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-12|small_1_5,deduplicated_sensitivity,2023-01-12,small_1_5,235,419,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-13|large_over_5,deduplicated_sensitivity,2023-01-13,large_over_5,15,368,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-13|small_1_5,deduplicated_sensitivity,2023-01-13,small_1_5,179,292,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-16|large_over_5,deduplicated_sensitivity,2023-01-16,large_over_5,23,557,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-16|small_1_5,deduplicated_sensitivity,2023-01-16,small_1_5,186,328,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-17|large_over_5,deduplicated_sensitivity,2023-01-17,large_over_5,18,767,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-17|small_1_5,deduplicated_sensitivity,2023-01-17,small_1_5,145,230,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-18|large_over_5,deduplicated_sensitivity,2023-01-18,large_over_5,55,1428,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-18|small_1_5,deduplicated_sensitivity,2023-01-18,small_1_5,259,480,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-19|large_over_5,deduplicated_sensitivity,2023-01-19,large_over_5,7,151,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-19|small_1_5,deduplicated_sensitivity,2023-01-19,small_1_5,65,99,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-20|large_over_5,deduplicated_sensitivity,2023-01-20,large_over_5,12,189,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-20|small_1_5,deduplicated_sensitivity,2023-01-20,small_1_5,75,132,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-23|large_over_5,deduplicated_sensitivity,2023-01-23,large_over_5,36,590,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-23|small_1_5,deduplicated_sensitivity,2023-01-23,small_1_5,144,266,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-24|large_over_5,deduplicated_sensitivity,2023-01-24,large_over_5,23,330,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-24|small_1_5,deduplicated_sensitivity,2023-01-24,small_1_5,139,233,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-25|large_over_5,deduplicated_sensitivity,2023-01-25,large_over_5,35,1083,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-25|small_1_5,deduplicated_sensitivity,2023-01-25,small_1_5,163,301,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-26|large_over_5,deduplicated_sensitivity,2023-01-26,large_over_5,25,661,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-26|small_1_5,deduplicated_sensitivity,2023-01-26,small_1_5,122,210,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-27|large_over_5,deduplicated_sensitivity,2023-01-27,large_over_5,21,519,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-27|small_1_5,deduplicated_sensitivity,2023-01-27,small_1_5,121,211,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-30|large_over_5,deduplicated_sensitivity,2023-01-30,large_over_5,37,745,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-30|small_1_5,deduplicated_sensitivity,2023-01-30,small_1_5,188,338,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-31|large_over_5,deduplicated_sensitivity,2023-01-31,large_over_5,30,620,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-01-31|small_1_5,deduplicated_sensitivity,2023-01-31,small_1_5,226,403,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-01|large_over_5,deduplicated_sensitivity,2023-02-01,large_over_5,9,136,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-01|small_1_5,deduplicated_sensitivity,2023-02-01,small_1_5,86,142,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-02|large_over_5,deduplicated_sensitivity,2023-02-02,large_over_5,35,873,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-02|small_1_5,deduplicated_sensitivity,2023-02-02,small_1_5,234,420,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-03|large_over_5,deduplicated_sensitivity,2023-02-03,large_over_5,26,411,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-03|small_1_5,deduplicated_sensitivity,2023-02-03,small_1_5,135,251,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-06|large_over_5,deduplicated_sensitivity,2023-02-06,large_over_5,46,1232,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-06|small_1_5,deduplicated_sensitivity,2023-02-06,small_1_5,172,294,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-07|large_over_5,deduplicated_sensitivity,2023-02-07,large_over_5,28,484,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-07|small_1_5,deduplicated_sensitivity,2023-02-07,small_1_5,217,370,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-08|large_over_5,deduplicated_sensitivity,2023-02-08,large_over_5,25,682,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-08|small_1_5,deduplicated_sensitivity,2023-02-08,small_1_5,179,293,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-09|large_over_5,deduplicated_sensitivity,2023-02-09,large_over_5,47,1300,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-09|small_1_5,deduplicated_sensitivity,2023-02-09,small_1_5,235,407,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-10|large_over_5,deduplicated_sensitivity,2023-02-10,large_over_5,23,283,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-10|small_1_5,deduplicated_sensitivity,2023-02-10,small_1_5,104,179,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-13|large_over_5,deduplicated_sensitivity,2023-02-13,large_over_5,40,939,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-13|small_1_5,deduplicated_sensitivity,2023-02-13,small_1_5,228,367,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-14|large_over_5,deduplicated_sensitivity,2023-02-14,large_over_5,17,415,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-14|small_1_5,deduplicated_sensitivity,2023-02-14,small_1_5,134,223,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-15|large_over_5,deduplicated_sensitivity,2023-02-15,large_over_5,12,287,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-15|small_1_5,deduplicated_sensitivity,2023-02-15,small_1_5,58,97,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-16|large_over_5,deduplicated_sensitivity,2023-02-16,large_over_5,93,1543,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-16|small_1_5,deduplicated_sensitivity,2023-02-16,small_1_5,490,840,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-19|large_over_5,deduplicated_sensitivity,2023-02-19,large_over_5,1,510,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-21|large_over_5,deduplicated_sensitivity,2023-02-21,large_over_5,71,1342,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-21|small_1_5,deduplicated_sensitivity,2023-02-21,small_1_5,353,601,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-22|large_over_5,deduplicated_sensitivity,2023-02-22,large_over_5,47,984,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-22|small_1_5,deduplicated_sensitivity,2023-02-22,small_1_5,255,430,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-23|large_over_5,deduplicated_sensitivity,2023-02-23,large_over_5,42,1531,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-23|small_1_5,deduplicated_sensitivity,2023-02-23,small_1_5,235,376,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-24|large_over_5,deduplicated_sensitivity,2023-02-24,large_over_5,52,822,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-24|small_1_5,deduplicated_sensitivity,2023-02-24,small_1_5,181,341,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-27|large_over_5,deduplicated_sensitivity,2023-02-27,large_over_5,51,835,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-27|small_1_5,deduplicated_sensitivity,2023-02-27,small_1_5,435,661,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-28|large_over_5,deduplicated_sensitivity,2023-02-28,large_over_5,35,713,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-02-28|small_1_5,deduplicated_sensitivity,2023-02-28,small_1_5,239,421,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-01|large_over_5,deduplicated_sensitivity,2023-03-01,large_over_5,8,88,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-01|small_1_5,deduplicated_sensitivity,2023-03-01,small_1_5,96,139,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-02|large_over_5,deduplicated_sensitivity,2023-03-02,large_over_5,58,2088,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-02|small_1_5,deduplicated_sensitivity,2023-03-02,small_1_5,235,407,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-03|large_over_5,deduplicated_sensitivity,2023-03-03,large_over_5,20,512,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-03|small_1_5,deduplicated_sensitivity,2023-03-03,small_1_5,117,196,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-06|large_over_5,deduplicated_sensitivity,2023-03-06,large_over_5,37,1210,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-06|small_1_5,deduplicated_sensitivity,2023-03-06,small_1_5,229,376,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-07|large_over_5,deduplicated_sensitivity,2023-03-07,large_over_5,14,230,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-07|small_1_5,deduplicated_sensitivity,2023-03-07,small_1_5,139,249,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-08|large_over_5,deduplicated_sensitivity,2023-03-08,large_over_5,57,1093,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-08|small_1_5,deduplicated_sensitivity,2023-03-08,small_1_5,340,635,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-09|large_over_5,deduplicated_sensitivity,2023-03-09,large_over_5,38,917,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-09|small_1_5,deduplicated_sensitivity,2023-03-09,small_1_5,92,161,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-10|large_over_5,deduplicated_sensitivity,2023-03-10,large_over_5,15,174,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-10|small_1_5,deduplicated_sensitivity,2023-03-10,small_1_5,126,208,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-12|large_over_5,deduplicated_sensitivity,2023-03-12,large_over_5,14,376,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-12|small_1_5,deduplicated_sensitivity,2023-03-12,small_1_5,32,61,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-14|large_over_5,deduplicated_sensitivity,2023-03-14,large_over_5,50,1458,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-14|small_1_5,deduplicated_sensitivity,2023-03-14,small_1_5,136,198,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-15|large_over_5,deduplicated_sensitivity,2023-03-15,large_over_5,15,255,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-15|small_1_5,deduplicated_sensitivity,2023-03-15,small_1_5,76,129,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-16|large_over_5,deduplicated_sensitivity,2023-03-16,large_over_5,51,1315,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-16|small_1_5,deduplicated_sensitivity,2023-03-16,small_1_5,112,203,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-16|zero,deduplicated_sensitivity,2023-03-16,zero,1,0,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-17|large_over_5,deduplicated_sensitivity,2023-03-17,large_over_5,1,2400,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-22|large_over_5,deduplicated_sensitivity,2023-03-22,large_over_5,140,4998,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-22|small_1_5,deduplicated_sensitivity,2023-03-22,small_1_5,465,912,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-27|large_over_5,deduplicated_sensitivity,2023-03-27,large_over_5,1,1277,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-28|large_over_5,deduplicated_sensitivity,2023-03-28,large_over_5,2,22,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-28|small_1_5,deduplicated_sensitivity,2023-03-28,small_1_5,75,80,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-29|large_over_5,deduplicated_sensitivity,2023-03-29,large_over_5,121,2808,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-03-29|small_1_5,deduplicated_sensitivity,2023-03-29,small_1_5,316,674,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-04-03|large_over_5,deduplicated_sensitivity,2023-04-03,large_over_5,94,2485,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-04-03|small_1_5,deduplicated_sensitivity,2023-04-03,small_1_5,315,585,Observed source aggregation; duplicate interpretation varies
deduplicated_sensitivity|2023-04-04|large_over_5,deduplicated_sensitivity,2023-04-04,large_over_5,53,1086,Observed source aggregation; duplicate interpretation varies
